token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP093	0	no	no	linguistic	_	Begin=1.02	_	_	_	_
0-1	PKP093	0	dai	dai	linguistic	_	_	_	_	_	_
0-2	PKP093	0	ci	ci	linguistic	_	_	_	_	_	_
0-3	PKP093	0	siamo	siamo	linguistic	_	End=1.782	_	_	_	_
1-0	PKP024	1	xx	x	unknown	_	Begin=4.88	_	_	_	_
1-1	PKP024	1	xx	x	unknown	_	_	_	_	_	_
1-2	PKP024	1	lo	lo	linguistic	_	_	_	_	_	_
1-3	PKP024	1	rimetto	rimetto	linguistic	_	_	_	_	_	_
1-4	PKP024	1	xx	x	unknown	_	End=6.466	_	_	_	_
2-0	PKP093	2	se	se	linguistic	_	Begin=7.347	_	_	_	_
2-1	PKP093	2	non	non	linguistic	_	_	_	_	_	_
2-2	PKP093	2	c'	c'	linguistic	SpaceAfter=No	_	_	_	_	_
2-3	PKP093	2	è	è	linguistic	_	End=7.782	_	_	_	_
3-0	PKP093	3	sono	sono	linguistic	_	Begin=8.804	_	_	_	_
3-1	PKP093	3	avanzati	avanzati	linguistic	_	_	_	_	_	_
3-2	PKP093	3	i	i	linguistic	_	_	_	_	_	_
3-3	PKP093	3	peperoni?	peperoni	linguistic	Intonation=Rising	End=9.76	_	_	_	_
4-0	PKP024	4	sì	sì	linguistic	_	Begin=10.195	_	_	_	_
4-1	PKP024	4	un	un	linguistic	_	_	_	_	_	_
4-2	PKP024	4	pochini	pochini	linguistic	_	_	_	_	_	_
4-3	PKP024	4	sì	sì	linguistic	_	_	_	_	_	_
4-4	PKP024	4	li	li	linguistic	_	_	_	_	_	_
4-5	PKP024	4	ho	ho	linguistic	_	_	_	_	_	_
4-6	PKP024	4	fatti	fatti	linguistic	_	_	_	_	_	_
4-7	PKP024	4	in	in	linguistic	_	_	_	_	_	_
4-8	PKP024	4	xxx	x	unknown	_	End=11.78	_	_	_	_
5-0	PKP093	5	no	no	linguistic	_	Begin=12.391	_	_	_	_
5-1	PKP093	5	li	li	linguistic	_	_	_	_	_	_
5-2	PKP093	5	hai	hai	linguistic	_	_	_	_	_	_
5-3	PKP093	5	fatti	fatti	linguistic	_	_	_	_	_	_
5-4	PKP093	5	te	te	linguistic	_	End=13.152	_	_	_	_
6-0	PKP024	6	((ride))	((ride))	nonverbalbehavior	_	Begin=13.673	_	_	_	_
6-1	PKP024	6	siamo	siamo	linguistic	_	_	_	_	_	_
6-2	PKP024	6	in	in	linguistic	_	_	_	_	_	_
6-3	PKP024	6	due	due	linguistic	_	End=15.543	_	_	_	_
7-0	PKP093	7	ho	ho	linguistic	_	Begin=16.021	_	_	_	_
7-1	PKP093	7	capito	capito	linguistic	_	_	_	_	_	_
7-2	PKP093	7	ma	ma	linguistic	_	_	_	_	_	_
7-3	PKP093	7	i	i	linguistic	_	_	_	_	_	_
7-4	PKP093	7	peperoni:	peperoni	linguistic	_	_	7x1	_	_	_
7-5	PKP093	7	alla	alla	linguistic	_	_	_	_	_	_
7-6	PKP093	7	fine	fine	linguistic	_	End=17.804	_	_	_	_
8-0	PKP093	8	non	non	linguistic	_	Begin=19.814|End=20.053	_	_	_	_
9-0	PKP093	9	cioè:	cioè	linguistic	_	Begin=21.096|End=21.531	3x1	_	_	_
10-0	PKP093	10	poi	poi	linguistic	_	Begin=22.063	_	_	_	_
10-1	PKP093	10	non	non	linguistic	_	_	_	_	_	_
10-2	PKP093	10	so	so	linguistic	_	_	_	_	_	_
10-3	PKP093	10	te	te	linguistic	_	_	_	_	_	_
10-4	PKP093	10	ma	ma	linguistic	_	_	_	_	_	_
10-5	PKP093	10	ne	ne	linguistic	_	_	_	_	_	_
10-6	PKP093	10	mangerei	mangerei	linguistic	_	_	_	_	_	_
10-7	PKP093	10	veramente	veramente	linguistic	_	_	_	_	_	_
10-8	PKP093	10	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
10-9	PKP093	10	quattro	quattro	linguistic	_	_	_	_	_	_
10-10	PKP093	10	da	da	linguistic	_	_	_	_	_	_
10-11	PKP093	10	solo	solo	linguistic	_	End=25.302	_	_	_	_
11-0	PKP024	11	°no	no	linguistic	Volume=Low	Begin=25.584	_	_	_	_
11-1	PKP024	11	vabbè°	vabbè	linguistic	Volume=Low	End=26.041	_	_	_	_
12-0	PKP093	12	quando	quando	linguistic	_	Begin=27.303	_	_	_	_
12-1	PKP093	12	so'	so'	linguistic	Truncated=Yes	_	_	_	_	_
12-2	PKP093	12	a	a	linguistic	_	_	_	_	_	_
12-3	PKP093	12	bologna	bologna	linguistic	_	_	_	_	_	_
12-4	PKP093	12	magari	magari	linguistic	_	_	_	_	_	_
12-5	PKP093	12	che	che	linguistic	_	_	_	_	_	_
12-6	PKP093	12	(no)n	non	linguistic	_	_	_	_	0-2(0)	_
12-7	PKP093	12	c'	c'	linguistic	SpaceAfter=No	_	_	_	_	_
12-8	PKP093	12	è	è	linguistic	_	_	_	_	_	_
12-9	PKP093	12	nessuno	nessuno	linguistic	_	_	_	_	_	_
12-10	PKP093	12	così	così	linguistic	_	_	_	_	_	_
12-11	PKP093	12	d'	d'	linguistic	SpaceAfter=No	_	_	_	_	_
12-12	PKP093	12	estate	estate	linguistic	_	_	_	_	_	_
12-13	PKP093	12	piglio	piglio	linguistic	_	_	_	_	_	_
12-14	PKP093	12	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
12-15	PKP093	12	cinque	cinque	linguistic	_	_	_	_	_	_
12-16	PKP093	12	peperoni:	peperoni	linguistic	_	_	7x1	_	_	_
12-17	PKP093	12	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
12-18	PKP093	12	cinque	cinque	linguistic	_	_	_	_	_	_
12-19	PKP093	12	no	no	linguistic	_	_	_	_	_	_
12-20	PKP093	12	(.)	[PAUSE]	shortpause	_	_	_	Fast=2-3	_	_
12-21	PKP093	12	>ma	ma	linguistic	_	_	_	Fast=0-2	_	_
12-22	PKP093	12	tipo<	tipo	linguistic	_	_	_	Fast=0-3	_	_
12-23	PKP093	12	tre	tre	linguistic	_	_	_	_	_	_
12-24	PKP093	12	da	da	linguistic	_	_	_	_	_	_
12-25	PKP093	12	solo	solo	linguistic	_	End=35.0	_	_	_	_
13-0	PKP024	13	no:	no	linguistic	_	Begin=35.064	1x1	_	_	_
13-1	PKP024	13	lo	lo	linguistic	_	_	_	_	_	_
13-2	PKP024	13	sai	sai	linguistic	_	_	_	_	_	_
13-3	PKP024	13	che	che	linguistic	_	_	_	_	_	_
13-4	PKP024	13	anche	anche	linguistic	_	_	_	_	_	_
13-5	PKP024	13	a	a	linguistic	_	_	_	_	_	_
13-6	PKP024	13	me	me	linguistic	_	_	_	_	_	_
13-7	PKP024	13	piacciono	piacciono	linguistic	_	_	_	_	_	_
13-8	PKP024	13	però	però	linguistic	_	_	_	_	_	_
13-9	PKP024	13	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
13-10	PKP024	13	cioè	cioè	linguistic	_	_	_	_	_	_
13-11	PKP024	13	sono	sono	linguistic	_	_	_	_	_	_
13-12	PKP024	13	tanti	tanti	linguistic	_	End=37.586	_	_	_	_
14-0	PKP093	14	e:h	eh	linguistic	_	Begin=44.074|End=44.275	0x1	_	_	_
15-0	PKP024	15	mi	mi	linguistic	_	Begin=44.275	_	_	_	_
15-1	PKP024	15	puoi	puoi	linguistic	_	_	_	_	_	_
15-2	PKP024	15	dare	dare	linguistic	_	_	_	_	_	_
15-3	PKP024	15	un	un	linguistic	_	_	_	_	_	_
15-4	PKP024	15	po'	po'	linguistic	_	_	_	_	_	_
15-5	PKP024	15	d'	d'	linguistic	SpaceAfter=No	_	_	_	_	_
15-6	PKP024	15	acqua?	acqua	linguistic	Intonation=Rising	End=45.042	_	_	_	_
16-0	PKP093	16	sì	sì	linguistic	_	Begin=45.519|End=45.649	_	_	_	_
17-0	PKP024	17	plea:se	please	linguistic	_	Begin=45.834|End=46.573	3x1	_	_	_
18-0	PKP024	18	grazie	grazie	linguistic	_	Begin=52.04|End=52.366	_	_	_	_
19-0	PKP093	19	(un	un	linguistic	_	Begin=55.999	_	_	0-2(0)	_
19-1	PKP093	19	po'	po'	linguistic	_	_	_	_	0-3(0)	_
19-2	PKP093	19	d'	d'	linguistic	SpaceAfter=No	_	_	_	0-2(0)	_
19-3	PKP093	19	acqua)	acqua	linguistic	_	_	_	_	0-5(0)	_
19-4	PKP093	19	questo	questo	linguistic	_	_	_	_	_	_
19-5	PKP093	19	è	è	linguistic	_	_	_	_	_	_
19-6	PKP093	19	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
19-7	PKP093	19	<colesterolo>	colesterolo	linguistic	_	End=59.076	_	Slow=0-11	_	_
20-0	PKP024	20	((ride))	((ride))	nonverbalbehavior	_	Begin=59.678	_	_	_	_
20-1	PKP024	20	non	non	linguistic	_	_	_	_	_	_
20-2	PKP024	20	lo	lo	linguistic	_	_	_	_	_	_
20-3	PKP024	20	mangiare	mangiare	linguistic	_	End=61.088	_	_	_	_
21-0	PKP093	21	colesterolo	colesterolo	linguistic	_	Begin=61.319	_	_	_	_
21-1	PKP093	21	allo	allo	linguistic	_	_	_	_	_	_
21-2	PKP093	21	stato	stato	linguistic	_	_	_	_	_	_
21-3	PKP093	21	puro	puro	linguistic	_	_	_	_	_	_
21-4	PKP093	21	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
21-5	PKP093	21	°cioè	cioè	linguistic	Volume=Low	_	_	_	_	_
21-6	PKP093	21	è	è	linguistic	Volume=Low	_	_	_	_	_
21-7	PKP093	21	la	la	linguistic	Volume=Low	_	_	_	_	_
21-8	PKP093	21	prima	prima	linguistic	Volume=Low	_	_	_	_	_
21-9	PKP093	21	cosa	cosa	linguistic	Volume=Low	_	_	_	_	_
21-10	PKP093	21	che	che	linguistic	Volume=Low	_	_	_	_	_
21-11	PKP093	21	non	non	linguistic	Volume=Low	_	_	_	_	_
21-12	PKP093	21	avrei	avrei	linguistic	Volume=Low	_	_	_	_	_
21-13	PKP093	21	mai	mai	linguistic	Volume=Low	_	_	_	_	_
21-14	PKP093	21	detto°	detto	linguistic	Volume=Low	End=64.575	_	_	_	_
22-0	PKP024	22	((ride))	((ride))	nonverbalbehavior	_	Begin=64.882|End=66.549	_	_	_	_
23-0	PKP024	23	giuro	giuro	linguistic	_	Begin=74.076	_	_	_	_
23-1	PKP024	23	che	che	linguistic	_	_	_	_	_	_
23-2	PKP024	23	non	non	linguistic	_	_	_	_	_	_
23-3	PKP024	23	vedo	vedo	linguistic	_	_	_	_	_	_
23-4	PKP024	23	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
23-5	PKP024	23	ora	ora	linguistic	_	_	_	_	_	_
23-6	PKP024	23	che	che	linguistic	_	_	_	_	_	_
23-7	PKP024	23	arrivi	arrivi	linguistic	_	_	_	_	_	_
23-8	PKP024	23	giovedì	giovedì	linguistic	_	_	_	_	_	_
23-9	PKP024	23	per	per	linguistic	_	_	_	_	_	_
23-10	PKP024	23	andare	andare	linguistic	_	_	_	_	_	_
23-11	PKP024	23	a	a	linguistic	_	_	_	_	_	_
23-12	PKP024	23	mangiare	mangiare	linguistic	_	_	_	_	_	_
23-13	PKP024	23	il	il	linguistic	_	_	_	_	_	_
23-14	PKP024	23	fritto	fritto	linguistic	_	End=77.076	_	_	_	_
24-0	PKP093	24	si	si	linguistic	_	Begin=78.64	_	_	_	_
24-1	PKP093	24	vive	vive	linguistic	_	_	_	_	_	_
24-2	PKP093	24	una	una	linguistic	_	_	_	_	_	_
24-3	PKP093	24	volta	volta	linguistic	_	_	_	_	_	_
24-4	PKP093	24	sola	sola	linguistic	_	_	_	_	_	_
24-5	PKP093	24	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
24-6	PKP093	24	facciamo	facciamo	linguistic	_	_	_	_	_	_
24-7	PKP093	24	>in	in	linguistic	_	_	_	Fast=0-2	_	_
24-8	PKP093	24	modo<	modo	linguistic	_	_	_	Fast=0-4	_	_
24-9	PKP093	24	che	che	linguistic	_	_	_	_	_	_
24-10	PKP093	24	sia	sia	linguistic	_	_	_	_	_	_
24-11	PKP093	24	più	più	linguistic	_	_	_	_	_	_
24-12	PKP093	24	corto	corto	linguistic	_	_	_	_	_	_
24-13	PKP093	24	possibile	possibile	linguistic	_	End=82.153	_	_	_	_
25-0	PKP024	25	per	per	linguistic	_	Begin=85.486	_	_	_	_
25-1	PKP024	25	il	il	linguistic	_	_	_	_	_	_
25-2	PKP024	25	fritto	fritto	linguistic	_	End=86.127	_	_	_	_
26-0	PKP093	26	(un	un	linguistic	_	Begin=87.537	_	_	0-2(0)	_
26-1	PKP093	26	po'	po'	linguistic	_	_	_	_	0-3(0)	_
26-2	PKP093	26	tutto)	tutto	linguistic	_	End=88.229	_	_	0-5(0)	_
27-0	PKP024	27	beh	beh	linguistic	_	Begin=89.716	_	_	_	_
27-1	PKP024	27	io	io	linguistic	_	_	_	_	_	_
27-2	PKP024	27	caro	caro	linguistic	_	_	_	_	_	_
27-3	PKP024	27	x	x	unknown	_	End=90.844	_	_	_	_
28-0	PKP093	28	hai	hai	linguistic	_	Begin=95.461	_	_	_	_
28-1	PKP093	28	prenotato	prenotato	linguistic	_	_	_	_	_	_
28-2	PKP093	28	per	per	linguistic	_	_	_	_	_	_
28-3	PKP093	28	cena	cena	linguistic	_	_	_	_	_	_
28-4	PKP093	28	no?	no	linguistic	Intonation=Rising	End=96.717	_	_	_	_
29-0	PKP024	29	eh	eh	linguistic	_	Begin=97.717	_	_	_	_
29-1	PKP024	29	sì	sì	linguistic	_	End=98.025	_	_	_	_
30-0	PKP024	30	ah	ah	linguistic	_	Begin=98.55	_	_	_	_
30-1	PKP024	30	no	no	linguistic	_	End=98.884	_	_	_	_
31-0	PKP024	31	ricordiamocelo	ricordiamocelo	linguistic	_	Begin=101.319	_	_	_	_
31-1	PKP024	31	magari	magari	linguistic	_	End=102.525	_	_	_	_
32-0	PKP093	32	allora	allora	linguistic	_	Begin=103.55	_	_	_	_
32-1	PKP093	32	a	a	linguistic	_	_	_	_	_	_
32-2	PKP093	32	pranzo	pranzo	linguistic	_	_	_	_	_	_
32-3	PKP093	32	ca[rbonara]	carbonara	linguistic	_	End=104.653	_	_	_	2-9(0)
33-0	PKP024	33	[comunque]	comunque	linguistic	_	Begin=104.319	_	_	_	0-8(0)
33-1	PKP024	33	no	no	linguistic	_	_	_	_	_	_
33-2	PKP024	33	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
33-3	PKP024	33	no	no	linguistic	_	_	_	_	_	_
33-4	PKP024	33	perché	perché	linguistic	_	End=105.832	_	_	_	_
34-0	PKP093	34	da:i:	dai	linguistic	_	Begin=106.036	1x1,2x1	_	_	_
34-1	PKP093	34	p~	p~	linguistic	Interrupted=Yes	End=107.011	_	_	_	_
35-0	PKP024	35	no	no	linguistic	_	Begin=107.1	_	_	_	_
35-1	PKP024	35	perché	perché	linguistic	_	_	_	_	_	_
35-2	PKP024	35	in	in	linguistic	_	_	_	_	_	_
35-3	PKP024	35	quel	quel	linguistic	_	_	_	_	_	_
35-4	PKP024	35	posto	posto	linguistic	_	_	_	_	_	_
35-5	PKP024	35	quando	quando	linguistic	_	_	_	_	_	_
35-6	PKP024	35	ci	ci	linguistic	_	_	_	_	_	_
35-7	PKP024	35	vai:	vai	linguistic	_	_	2x1	_	_	_
35-8	PKP024	35	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
35-9	PKP024	35	cioè	cioè	linguistic	_	_	_	_	_	_
35-10	PKP024	35	ti	ti	linguistic	_	_	_	_	_	_
35-11	PKP024	35	danno	danno	linguistic	_	_	_	_	_	_
35-12	PKP024	35	delle	delle	linguistic	_	_	_	_	_	_
35-13	PKP024	35	porzioni	porzioni	linguistic	_	_	_	_	_	_
35-14	PKP024	35	veramente	veramente	linguistic	_	_	_	_	_	_
35-15	PKP024	35	spropositate	spropositate	linguistic	_	End=111.541	_	_	_	_
36-0	PKP093	36	ho	ho	linguistic	_	Begin=111.541	_	_	_	_
36-1	PKP093	36	capito	capito	linguistic	_	_	_	_	_	_
36-2	PKP093	36	ma	ma	linguistic	_	_	_	_	_	_
36-3	PKP093	36	se	se	linguistic	_	_	_	_	_	_
36-4	PKP093	36	mangi	mangi	linguistic	_	_	_	_	_	_
36-5	PKP093	36	la	la	linguistic	_	_	_	_	_	_
36-6	PKP093	36	carbonara	carbonara	linguistic	_	_	_	_	_	_
36-7	PKP093	36	all'	all'	linguistic	SpaceAfter=No	_	_	_	_	_
36-8	PKP093	36	una	una	linguistic	_	End=113.522	_	_	_	_
37-0	PKP024	37	ma	ma	linguistic	_	Begin=114.727	_	_	_	_
37-1	PKP024	37	con	con	linguistic	_	_	_	_	_	_
37-2	PKP024	37	sto	sto	linguistic	_	_	_	_	_	_
37-3	PKP024	37	caldo	caldo	linguistic	_	_	_	_	_	_
37-4	PKP024	37	m(u)ori	muori	linguistic	_	End=115.958	_	_	1-2(0)	_
38-0	PKP093	38	ma	ma	linguistic	_	Begin=118.637	_	_	_	_
38-1	PKP093	38	cosa	cosa	linguistic	_	_	_	_	_	_
38-2	PKP093	38	c'	c'	linguistic	SpaceAfter=No	_	_	_	_	_
38-3	PKP093	38	hai	hai	linguistic	_	_	_	_	_	_
38-4	PKP093	38	ottant'	ottant'	linguistic	SpaceAfter=No	_	_	_	_	_
38-5	PKP093	38	anni?	anni	linguistic	Intonation=Rising	End=120.047	_	_	_	_
39-0	PKP024	39	sì	sì	linguistic	_	Begin=121.329|End=121.509	_	_	_	_
40-0	PKP093	40	((ride))	((ride))	nonverbalbehavior	_	Begin=121.739|End=123.098	_	_	_	_
41-0	PKP093	41	come	come	linguistic	_	Begin=123.995	_	_	_	_
41-1	PKP093	41	è	è	linguistic	_	_	_	_	_	_
41-2	PKP093	41	venuto	venuto	linguistic	_	_	_	_	_	_
41-3	PKP093	41	sto	sto	linguistic	_	_	_	_	_	_
41-4	PKP093	41	carpaccio	carpaccio	linguistic	_	_	_	_	_	_
41-5	PKP093	41	[manca]	manca	linguistic	_	_	_	_	_	0-5(1)
41-6	PKP093	41	di	di	linguistic	_	_	_	_	_	_
41-7	PKP093	41	sale?	sale	linguistic	Intonation=Rising	End=126.072	_	_	_	_
42-0	PKP024	42	[buono]	buono	linguistic	_	Begin=125.123|End=125.379	_	_	_	0-5(1)
43-0	PKP024	43	no	no	linguistic	_	Begin=126.174|End=126.379	_	_	_	_
44-0	PKP093	44	meno	meno	linguistic	_	Begin=126.648	_	_	_	_
44-1	PKP093	44	male	male	linguistic	_	End=127.084	_	_	_	_
45-0	PKP024	45	no	no	linguistic	_	Begin=127.674	_	_	_	_
45-1	PKP024	45	no	no	linguistic	_	End=128.032	_	_	_	_
46-0	PKP024	46	poi	poi	linguistic	_	Begin=133.922	_	_	_	_
46-1	PKP024	46	la	la	linguistic	_	_	_	_	_	_
46-2	PKP024	46	sera	sera	linguistic	_	End=134.538	_	_	_	_
47-0	PKP024	47	già	già	linguistic	_	Begin=136.73	_	_	_	_
47-1	PKP024	47	se	se	linguistic	_	_	_	_	_	_
47-2	PKP024	47	uno	uno	linguistic	_	_	_	_	_	_
47-3	PKP024	47	va	va	linguistic	_	_	_	_	_	_
47-4	PKP024	47	a	a	linguistic	_	_	_	_	_	_
47-5	PKP024	47	mangiare	mangiare	linguistic	_	_	_	_	_	_
47-6	PKP024	47	il	il	linguistic	_	_	_	_	_	_
47-7	PKP024	47	fritto	fritto	linguistic	_	_	_	_	_	_
47-8	PKP024	47	si	si	linguistic	_	_	_	_	_	_
47-9	PKP024	47	può	può	linguistic	_	_	_	_	_	_
47-10	PKP024	47	anche	anche	linguistic	_	_	_	_	_	_
47-11	PKP024	47	tenere	tenere	linguistic	_	_	_	_	_	_
47-12	PKP024	47	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
47-13	PKP024	47	un	un	linguistic	_	_	_	_	_	_
47-14	PKP024	47	pochino	pochino	linguistic	_	_	_	_	_	_
47-15	PKP024	47	più	più	linguistic	_	_	_	_	_	_
47-16	PKP024	47	leggero	leggero	linguistic	_	_	_	_	_	_
47-17	PKP024	47	a	a	linguistic	_	_	_	_	_	_
47-18	PKP024	47	pranzo	pranzo	linguistic	_	_	_	_	_	_
47-19	PKP024	47	ecco	ecco	linguistic	_	End=140.704	_	_	_	_
48-0	PKP093	48	io	io	linguistic	_	Begin=142.986|End=143.242	_	_	_	_
49-0	PKP024	49	allora	allora	linguistic	_	Begin=144.383	_	_	_	_
49-1	PKP024	49	si	si	linguistic	_	_	_	_	_	_
49-2	PKP024	49	piglia	piglia	linguistic	_	End=145.255	_	_	_	_
50-0	PKP024	50	il	il	linguistic	_	Begin=146.139	_	_	_	_
50-1	PKP024	50	primo	primo	linguistic	_	End=146.729	_	_	_	_
51-0	PKP024	51	che	che	linguistic	_	Begin=148.242	_	_	_	_
51-1	PKP024	51	lo	lo	linguistic	_	_	_	_	_	_
51-2	PKP024	51	dicono	dicono	linguistic	_	_	_	_	_	_
51-3	PKP024	51	sempre	sempre	linguistic	_	_	_	_	_	_
51-4	PKP024	51	i	i	linguistic	_	_	_	_	_	_
51-5	PKP024	51	mia	mia	linguistic	_	End=149.498	_	_	_	_
52-0	PKP024	52	che	che	linguistic	_	Begin=151.486	_	_	_	_
52-1	PKP024	52	è	è	linguistic	_	_	_	_	_	_
52-2	PKP024	52	quello	quello	linguistic	_	_	_	_	_	_
52-3	PKP024	52	<con>	con	linguistic	_	_	_	Slow=0-3	_	_
52-4	PKP024	52	gli	gli	linguistic	_	_	_	_	_	_
52-5	PKP024	52	spaghetti	spaghetti	linguistic	_	End=154.127	_	_	_	_
53-0	PKP024	53	vabbè	vabbè	linguistic	_	Begin=154.922	_	_	_	_
53-1	PKP024	53	(paghi)	paghi	linguistic	_	_	_	_	0-5(0)	_
53-2	PKP024	53	m:h	mh	linguistic	_	_	0x1	_	_	_
53-3	PKP024	53	non	non	linguistic	_	_	_	_	_	_
53-4	PKP024	53	con	con	linguistic	_	_	_	_	_	_
53-5	PKP024	53	gli	gli	linguistic	_	_	_	_	_	_
53-6	PKP024	53	spaghetti	spaghetti	linguistic	_	_	_	_	_	_
53-7	PKP024	53	((ride))	((ride))	nonverbalbehavior	_	_	_	_	_	_
53-8	PKP024	53	spaghetti	spaghetti	linguistic	_	End=157.357	_	_	_	_
54-0	PKP024	54	e	e	linguistic	_	Begin=158.513	_	_	_	_
54-1	PKP024	54	poi	poi	linguistic	_	_	_	_	_	_
54-2	PKP024	54	ci	ci	linguistic	_	_	_	_	_	_
54-3	PKP024	54	sono	sono	linguistic	_	_	_	_	_	_
54-4	PKP024	54	le	le	linguistic	_	_	_	_	_	_
54-5	PKP024	54	cozze	cozze	linguistic	_	_	_	_	_	_
54-6	PKP024	54	e	e	linguistic	_	_	_	_	_	_
54-7	PKP024	54	il	il	linguistic	_	_	_	_	_	_
54-8	PKP024	54	pecorino	pecorino	linguistic	_	End=159.84	_	_	_	_
55-0	PKP024	55	un	un	linguistic	_	Begin=161.6	_	_	_	_
55-1	PKP024	55	abbinamento	abbinamento	linguistic	_	_	_	_	_	_
55-2	PKP024	55	stranissimo	stranissimo	linguistic	_	End=162.942	_	_	_	_
56-0	PKP024	56	però:	però	linguistic	_	Begin=163.936	3x1	_	_	_
56-1	PKP024	56	loro	loro	linguistic	_	_	_	_	_	_
56-2	PKP024	56	dicono	dicono	linguistic	_	_	_	_	_	_
56-3	PKP024	56	sempre:	sempre	linguistic	_	_	5x1	_	_	_
56-4	PKP024	56	bo~	bo~	linguistic	Interrupted=Yes	_	_	_	_	_
56-5	PKP024	56	buono	buono	linguistic	_	_	_	_	_	_
56-6	PKP024	56	buoni	buoni	linguistic	_	_	_	_	_	_
56-7	PKP024	56	strano	strano	linguistic	_	_	_	_	_	_
56-8	PKP024	56	insomma	insomma	linguistic	_	_	_	_	_	_
56-9	PKP024	56	non:	non	linguistic	_	_	2x1	_	_	_
56-10	PKP024	56	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
56-11	PKP024	56	non	non	linguistic	_	_	_	_	_	_
56-12	PKP024	56	ti	ti	linguistic	_	_	_	_	_	_
56-13	PKP024	56	aspetteresti	aspetteresti	linguistic	_	_	_	_	_	_
56-14	PKP024	56	mai	mai	linguistic	_	End=171.075	_	_	_	_
57-0	PKP024	57	però	però	linguistic	_	Begin=171.793	_	_	_	_
57-1	PKP024	57	loro	loro	linguistic	_	_	_	_	_	_
57-2	PKP024	57	dicono	dicono	linguistic	_	_	_	_	_	_
57-3	PKP024	57	che	che	linguistic	_	_	_	_	_	_
57-4	PKP024	57	conviene	conviene	linguistic	_	_	_	_	_	_
57-5	PKP024	57	prendere	prendere	linguistic	_	_	_	_	_	_
57-6	PKP024	57	uno	uno	linguistic	_	_	_	_	_	_
57-7	PKP024	57	e	e	linguistic	_	_	_	_	_	_
57-8	PKP024	57	un~	un~	linguistic	Interrupted=Yes	_	_	_	_	_
57-9	PKP024	57	cioè	cioè	linguistic	_	_	_	_	_	_
57-10	PKP024	57	capito	capito	linguistic	_	_	_	_	_	_
57-11	PKP024	57	un	un	linguistic	_	_	_	_	_	_
57-12	PKP024	57	primo	primo	linguistic	_	_	_	_	_	_
57-13	PKP024	57	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
57-14	PKP024	57	ed	ed	linguistic	_	_	_	_	_	_
57-15	PKP024	57	un	un	linguistic	_	_	_	_	_	_
57-16	PKP024	57	secondo	secondo	linguistic	_	End=177.04	_	_	_	_
58-0	PKP093	58	sì	sì	linguistic	_	Begin=177.204	_	_	_	_
58-1	PKP093	58	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
58-2	PKP093	58	un	un	linguistic	_	_	_	_	_	_
58-3	PKP093	58	solo	solo	linguistic	_	_	_	_	_	_
58-4	PKP093	58	primo	primo	linguistic	_	_	_	_	_	_
58-5	PKP093	58	in	in	linguistic	_	_	_	_	_	_
58-6	PKP093	58	due	due	linguistic	_	End=178.743	_	_	_	_
59-0	PKP024	59	perché:	perché	linguistic	_	Begin=179.063	5x1	_	_	_
59-1	PKP024	59	è	è	linguistic	_	_	_	_	_	_
59-2	PKP024	59	tanta	tanta	linguistic	_	_	_	_	_	_
59-3	PKP024	59	°ro~°	ro~	linguistic	Interrupted=Yes|Volume=Low	_	_	_	_	_
59-4	PKP024	59	effettivamente	effettivamente	linguistic	_	_	_	_	_	_
59-5	PKP024	59	cioè	cioè	linguistic	_	_	_	_	_	_
59-6	PKP024	59	è	è	linguistic	_	_	_	_	_	_
59-7	PKP024	59	veramente	veramente	linguistic	_	_	_	_	_	_
59-8	PKP024	59	tanta	tanta	linguistic	_	_	_	_	_	_
59-9	PKP024	59	roba	roba	linguistic	_	End=181.806	_	_	_	_
60-0	PKP093	60	impossibile	impossibile	linguistic	_	Begin=183.139	_	_	_	_
60-1	PKP093	60	così	così	linguistic	_	_	_	_	_	_
60-2	PKP093	60	tanta	tanta	linguistic	_	End=184.267	_	_	_	_
61-0	PKP024	61	fidati	fidati	linguistic	_	Begin=185.408	_	_	_	_
61-1	PKP024	61	è	è	linguistic	_	_	_	_	_	_
61-2	PKP024	61	tanta	tanta	linguistic	_	End=186.331	_	_	_	_
62-0	PKP093	62	va	va	linguistic	_	Begin=188.369	_	_	_	_
62-1	PKP093	62	bene	bene	linguistic	_	_	_	_	_	_
62-2	PKP093	62	ci	ci	linguistic	_	_	_	_	_	_
62-3	PKP093	62	fideremo	fideremo	linguistic	_	End=189.343	_	_	_	_
63-0	PKP093	63	se	se	linguistic	_	Begin=190.535	_	_	_	_
63-1	PKP093	63	non	non	linguistic	_	_	_	_	_	_
63-2	PKP093	63	mi	mi	linguistic	_	_	_	_	_	_
